,학교명,위도,경도,주변_상권_코드_명,주변_상권_코드,주변_상권_엑스좌표_값,주변_상권_와이좌표_값,주변_상권_거리
224,정화여자중학교,37.58604864,127.0410078,홍파초등학교,3110194,203549,453894,177.0069973341424
225,서울당서초등학교,37.53202744,126.8998142,당산역,3120143,191262,448366,324.42512741934326
226,서울구암초등학교,37.48921747,126.9462717,구암초등학교,3110891,195414,443215,190.32815971233964
227,중화고등학교,37.60481461,127.0836541,중화역 1번,3110249,207071,456080,321.55771584044504
228,전농중학교,37.58204428,127.0592794,전농중학교,3110216,205156,453263,357.76490110188956
229,상계중학교,37.65260154,127.0689222,상계2동주민센터,3110426,206148,461865,426.7560693555717
230,미림여자정보과학고등학교,37.4661018,126.9319279,미림여고,3110878,194051,440617,146.5414922594148
231,문현중학교,37.48058417,127.1279464,문현중학교(장지역 1번),3111028,211262,442494,147.58069480844836
232,염창중학교,37.55426407,126.8717473,등촌역 1번,3110677,188138,450469,533.4428835728502
233,서울원당초등학교,37.48128046,126.9562493,서울대입구역 8번,3110897,196233,442468,110.37899170428948
234,서울창경초등학교,37.65660218,127.0346025,쌍문2동우체국,3110398,203278,461696,294.0569492723704
235,서울청량초등학교,37.5923094,127.0559085,청량초등학교,3110213,205004,454831,104.07790986807589
236,서울신학초등학교,37.66122045,127.0257213,연산군묘,3110386,202103,462367,169.39027709512163
237,서울신림초등학교,37.47711985,126.9268767,신림초등학교,3110872,193607,442092,145.53395026796065
238,서울미술고등학교,37.47669631,126.9667485,인헌시장(원당종합시장),3130295,196979,441661,269.33602504411004
239,경인고등학교,37.49599268,126.8654289,고척중학교,3110704,187951,444448,408.235134929073
240,신도림중학교,37.51074073,126.8848071,구로창업지원센터,3110707,189343,445600,483.45191620838517
241,휘경여자중학교,37.58190052,127.0674341,전곡시장,3130104,206069,453113,496.17250266329967
242,신림고등학교,37.47921049,126.9169672,미성초등학교,3110856,192319,442269,343.74842073171766
243,서울문성초등학교,37.47491196,126.8994492,남문시장,3130233,191247,441612,180.51289550488679
244,신구중학교,37.52744229,127.0316727,신구중학교,3110959,202859,447326,232.05893475306289
